video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=9zHLU4Vgcu0&pp=ygUMYW50aS1zZW1ldGlj,/@DWDocumentary,DW Documentary,The murky myths behind antisemitism | DW Documentary,53K,11 months,"Antisemitism has existed for millennia, and it is still widespread today - in nearly every country in the world. Almost all Jews have ...",2024-01-23 19:28:53.458446
/watch?v=FAJfddwKraQ&pp=ygUMYW50aS1zZW1ldGlj,/@UNPACKED,Unpacked,"Antisemitism, Explained",174K,2 years,"Why is it that even post-Holocaust, Jews experience a large percentage of the world's hate crimes, despite being less than 0.2% of ...",2024-01-23 19:28:53.462079
/watch?v=61Wx-903AdU&pp=ygUMYW50aS1zZW1ldGlj,/@SkyNewsAustralia,Sky News Australia,Video exposes anti-Semitic ‘dark side of the hard left’ in social experiment by filmmaker,259K,3 weeks,The “dark side of the hard left” is exposed in a video recorded on United States' university campuses with a social experiment ...,2024-01-23 19:28:53.464737
/watch?v=HCtftQVqbOc&pp=ygUMYW50aS1zZW1ldGlj,/@KTVUFox2,KTVU FOX 2 San Francisco,Anti-semitic and racist vandalism at Pleasant Hill Middle School,1.7K,4 weeks,"Pleasant Hill Middle School shares that its campus has experienced what the school district is calling a ""disturbing incident of ...",2024-01-23 19:28:53.467648
/watch?v=oZkr6JjFpX4&pp=ygUMYW50aS1zZW1ldGlj,/@MiddleEastEye,Middle East Eye,"""Anti-Zionism is not the same as Anti-Semitism""",27K,4 years,"Activist and academic Sai Englert explains why conflating Anti-Zionism with Anti-Semitism is ""problematic"". #AntiSemitism ...",2024-01-23 19:28:53.472525
/watch?v=SQQRiUAOui8&pp=ygUMYW50aS1zZW1pdGlj,/@CBNnewsonline,CBN News,North American Student Advocates for Israel Train to Fight Anti-Semitism on Campus,6.5K,6 days,"JERUSALEM, Israel – It's been widely documented that anti-Semitic incidents across North America dramatically increased ...",2024-01-23 19:29:02.561512
/watch?v=5BIwf72ynS8&pp=ygUMYW50aS1zZW1pdGlj,/@annefrank,Anne Frank House,Antisemitism | Anne Frank House | Explained,188K,4 years,Antisemitism means hatred of Jews. Watch the video to see how the hatred of Jews has existed for a very long time and still exists ...,2024-01-23 19:29:02.565517
/watch?v=E55EBH5E_5E&pp=ygUMYW50aS1zZW1pdGlj,/@CBSNewYork,CBS New York,Caught On Camera: Disturbing Anti-Semitic Attack On Subway,97K,4 years,CBS2's Valerie Castro has the latest on the anti-Semitic attack caught on camera on the subway.,2024-01-23 19:29:02.568647
/watch?v=O9l-jdU4EM4&pp=ygUMYW50aS1zZW1pdGlj,/@SecularTalk,Secular Talk,Anti-Zionism Declared Anti-Semitic In New Law | The Kyle Kulinski Show,72K,1 month,"""The first time I ever really listened to Kyle Kulinski's show was in the back of a cab last summer. The driver had his phone hooked ...",2024-01-23 19:29:02.571780
/watch?v=Q8ZN2qcsBL0&pp=ygUMYW50aS1zZW1pdGlj,/@SkyNewsAustralia,Sky News Australia,‘Shocking’: Global rise of anti-Semitism ‘beyond our wildest expectations’,12K,1 month,"The global rise of anti-Semitism is “shocking”, says Australia/Israel and Jewish Affairs Council Dr Colin Rubenstein.",2024-01-23 19:29:02.574738
/watch?v=mDRzEyOam-M&pp=ygUMYW50aS1zZW1pdGlj,/@Intelligence-Squared,Intelligence Squared,Mehdi Hasan: Anti-Zionism Is Not Anti-Semitism,67K,4 years,Mehdi Hasan speaks against the motion 'Anti-Zionism is Anti-Semitism'. This clip is taken from an Intelligence Squared debate ...,2024-01-23 19:29:02.577667
